Data, benzin_95
01.01.2026,7.59
01.02.2026,7.63
01.03.2026,7.63
01.04.2026,7.63
01.05.2026,7.59
01.06.2026,7.58
01.07.2026,7.58
01.08.2026,7.58
01.09.2026,7.58
01.10.2026,7.61
01.11.2026,7.62
01.12.2026,7.62
01.13.2026,7.66
01.14.2026,7.66
01.15.2026,7.68
01.16.2026,7.69
01.17.2026,7.69
01.18.2026,7.69
01.19.2026,7.69
01.20.2026,7.69
01.21.2026,7.69
01.22.2026,7.73
01.23.2026,7.73
01.24.2026,7.74
01.25.2026,7.74
01.26.2026,7.74
01.27.2026,7.74
01.28.2026,7.74
01.29.2026,7.74
01.30.2026,7.77
01.31.2026,7.77
02.01.2026,7.77
02.02.2026,7.77
02.03.2026,7.77
02.04.2026,7.77
02.05.2026,7.77
02.06.2026,7.77
02.07.2026,7.77
02.08.2026,7.77
02.09.2026,7.77
02.10.2026,7.79
02.11.2026,7.79
02.12.2026,7.79